Patent Summary,Result
"본 발명은 핸드폰 통화연결 대기중 문자를 이용한 광고방법에 관한 것으로서, 더 상세하게는 핸드폰을 이용한 발신자가 수신자에게 전화를 걸고 난 후 수신자가 수신 버튼을 눌러 통화를 할 때까지 수신자의 정보를 발신자 핸드폰의 표시창에 문자로 디스플레이하여 광고를 하는 핸드폰 통화연결 대기중 문자를 이용한 광고방법에 관한 것으로, 유,무선수신자(70,60)는 수신자(70,60)의 정보를 문자화된 메세지 데이터(50)로 저장하고 유,무선 사업자(42,32)에게 가입 신청을 하며 수신자(70,60)의 메세지가 유,무선 사업자(42,32)에게 통보되어, 핸드폰 발신자(10)의 발신 신호가 기지국(20)을 통해 무선 교환기(30)에 전송되면 신청된 수신자(70,60)의 메세지가 유,무선 교환기(40,30) 및 기지국(20)을 통해 통화 연결시까지 핸드폰 발신자(10)의 핸드폰 표시창에 문자로 전송됨을 특징으로 하는 핸드폰 통화연결 대기중 문자를 이용한 광고방법이다. 메세지 데이터, 통화연결, 핸드폰.",거절
"본 발명은 핸드폰 일체형 핸즈프리의 노이즈제거 구조에 관한 것으로, 더욱 상세하게는 코드분할다중접속 모듈을 사용한 핸드폰과 연결되는 핸즈프리모듈이 내장된 텔레매틱스 장치에 있어서, 상기 코드분할다중접속 모듈에 장착되어 데이터 및 음성을 송수신하는 모뎀칩과, 상기 모뎀칩에서 나오는 디지털신호를 받아서 노이즈를 제거하기 위해 상기 핸즈프리모듈에 장착된 디에스피와, 상기 디에스피에 의하여 처리된 디지탈신호를 아나로그신호로 변환하여 외부출력장치로 전송하는 코덱으로 구성된다. 상기와 같은 본 발명에 의하면, 디지털과 아나로그신호의 변환을 최소로 하는 것에 의하여 통화품질이 월등히 향상되며, 부품이 감소된 구조에 의하여 생산비가 절감된다. 코드분할다중접속 모듈, 모뎀칩, 코덱, 디에스피",거절
"본 발명은 핸드폰 착탈식 텔레매틱스 장치에 관한 것으로, 더욱 상세하게는 차량의 내부에 장착되어 차량위치정보 서비스를 비롯한, 차량도난·사고감지·원격 차량 진단·긴급 구난·교통 정보 서비스 기능과 함께 스피커와 연결되어 오디오부의 기능을 구비한 텔레매틱스 장치에 있어서, 상기 텔레매틱스 장치의 일측으로 접속단자가 구비되며 양측으로는 제1가이드부재가 구비된 수납부와, 상기 수납부의 제1가이드부재와 대응하는 제2가이드부재가 일측에 구비되어 상기 수납부에 삽입 장착되며 입출력 장치인 터치패드부가 전면에 형성된 핸드폰부재로 구성된다. 상기와 같은 본 발명에 의하면, 통신 기능을 겸한 텔레매틱스 장치와 핸드폰부재를 착탈식으로 구성하는 것에 의하여 중복된 부품의 구입에 대한 비용 절감과 함께, 이중의 통신비용이 지출되는 것을 절감할 수 있게 되며, 제품 외형이 축소되는 것에 의하여 장착면적이 감소된다. 텔레매틱스 장치, 핸드폰 부재, 가이드부재, 접속단자, 터치패드부",거절
"본 발명은 송ㆍ수신 안테나와 통신회로를 갖는 본체와 액정 화면이 형성된 개폐부로 구성된 통상의 휴대용 전화기에 관한 것으로, 더욱 상세하게는 상기 안테나의 끝단부에 온도를 감지하는 센서와, 상기 센서가 장착된 안테나의 끝단부가 대상물과 접촉되는 머리부에는 물체의 온도에 따라 색상이 변화되는 카멜레온 염료를 도포하여서 사용 되는 것으로써, 가정에서 유아의 목욕을 하기 위한 물의 적정한 온도를 맞출 수 있고, 또한, 실내의 온도환경을 수시로 점검할 수 있으며, 산업환경에서 필요한 대상물의 온도 확인 및 측정을 간편하고, 신속하게 사용 할 수 있도록 한 것을 특징으로 하는 온도측정기가 구비된 핸드폰에 관한 것이다. 온도측정기, 핸드폰",거절
"본 발명은 송ㆍ수신 안테나와 통신회로를 갖는 본체와 액정 화면이 형성된 개폐부로 구성된 통상의 휴대용 전화기에 있어서, 안테나수용부 외면 일측부에 공기 유입을 위한 공기주입구와, 상기 공기주입구 외측에 수분을 차단하기 위한 거름망과, 상기 거름망과 공기주입구로 유입된 공기의 알콜 농도를 측정하기 위해 안테나수용부 내측에 형성된 알콜농도검출센서와, 상기 알콜농도검출센서를 통과하여 공기주입구 타측에 공기 유출을 위한 유통구를 형성하고, 핸드폰의 개폐부에는 알콜농도검출센서에서 검출된 음주량을 표시하는 디지털 표시부와, 음주량에 따라 표시되는 다수개의 LED가 형성되어, 음주량을 신속하고 간편하게 측정하고, 운전 가능 여부를 언제든지 쉽게 확인 할 수 있도록 하여, 음주로 인한 사고를 사전에 예방할 수 있으며, 인명피해와 재해를 방지하고, 보다 안정된 생활을 누릴 수 있도록 음주측정기가 구비된 핸드폰에 관한 것이다. 음주측정, 핸드폰",거절
공간이 줄어들면서 간편하게 핸드폰으로 영화나 드라마를 보면서 과자나 다양한 음식들을 그릇에 담아 먹을 수 있다.,거절
본 발명은 그립톡에 나노패드를 붙여 흡착력을 높인 면으로 차량에 붙이는 차량용 핸드폰 거치 그립톡에 관한 것이다.,거절
"본 발명은 일측은, 핸드폰이 삽입되어, 핸드폰의 액정이 노출되는 액정노출부와, 타측은 홀이 형성되는 삽입홀을 구비하는 케이스; 상기 케이스 내측 둘레를 따라, 홈이 형성되는 케이블 홈; 상기 케이블 홈에 안착되고, 선택적으로 케이블 홈에서 탈착되며, 자유자재로 각도를 조절하는 케이블; 상기 케이스의 삽입홀에 삽입되어, 각도 조절된 상기 케이블을 360도 회전시키는 회전부를 포함하는 핸드폰 지지구를 제공한다.",등록
"본 발명의 실시 형태는 좌측변, 우측변, 상측변, 하측변으로 이루어진 화면 거치홈이 마련되어 있는 핸드폰 하우징; 상기 화면 거치홈에 매립되어 마련되어, 입력과 표시를 동시에 할 수 있는 터치스크린패널; 상기 좌측변 및 우측변 중 하나 이상의 세로변에 설치되어 있으며, 화상 통화 모드, 셀카 촬영 모드 동작시에 사용자 자신을 촬영하여 본인 영상으로 생성하는 카메라; 및 화상 통화 모드로 동작시에 본인 영상과 상대방 영상을 상기 터치스크린패널에 표시하며, 셀카 촬영 모드로 동작시에 본인 영상을 상기 터치스크린패널에 표시하는 제어부;를 포함한다.",등록
"본 고안은 핸드폰 케이스에 관한 것으로서, 더욱 상세하게는, 케이스의 배면에 다수의 지지대를 구비하여 원하는 위치에 핸드폰을 용이하게 세워 놓을 수 있으며, 신축밴드를 통하여 핸드폰을 손가락에 파지한 채 용이하게 휴대할 수 있는 핸드폰 케이스에 관한 것으로, 핸드폰을 수용하는 수납공간이 형성된 케이스와, 케이스의 배면 양측에 형성된 절개부와, 상기 절개부의 상부측에 형성되는 힌지공과, 힌지공과 고정구로 연결되어 회전가능하게 설치되어, 케이스를 경사지게 세워주는 다수의 지지대가 포함되어, 다수의 지지대로 케이스의 배면을 지지함으로써, 핸드폰을 원하는 위치에서 용이하게 세울 수 있으며, 그로 인하여 핸드폰의 컨텐츠를 편리하게 즐길 수 있는 이점이 있다. 아울러 본 고안은 신축밴드를 케이스의 배면에 일체로 형성함으로써, 핸드폰을 세울 수 없는 위치에서는 핸드폰을 손으로 파지한 채 용이하게 휴대할 수 있으며, 컨텐츠 또한 손쉽게 즐길 수 있는 효과가 있다.",거절
